SIGNATURE NAME,SIGNATURE ID
allocates_rwx,1
volatility_handles_1,2
volatility_ldrmodules_1,3
volatility_malfind_2,4
volatility_modscan_1,5
volatility_svcscan_1,6
volatility_svcscan_3,7
antivm_queries_computername,8
console_output,9
recon_fingerprint,10
antivm_memory_available,11
pe_features,12
raises_exception,13
dumped_buffer,14
antivm_disk_size,15
creates_doc,16
creates_exe,17
creates_shortcut,18
suspicious_process,19
exe_appdata,20
has_wmi,21
stealth_window,22
uses_windows_utilities,23
allocates_execute_remote_process,24
bypass_firewall,25
antisandbox_cuckoo_files,26
disables_proxy,27
injection_write_memory,28
injection_write_memory_exe,29
injection_ntsetcontextthread,30
ransomware_message,31
injection_resumethread,32
banker_zeus_p2p,33
ransomware_file_moves,34
ransomware_appends_extensions,35
ransomware_dropped_files,36
injection_runpe,37
packer_entropy,38
checks_debugger,39
generates_crypto_key,40
privilege_luid_check,41
wmi_antivm,42
applcation_raises_exception,43
creates_hidden_file,44
rtf_unknown_character_set,45
process_martian,46
has_pdb,47
locates_browser,48
network_bind,49
antisandbox_sleep,50
injection_process_search,51
protection_rx,52
memdump_urls,53
dumped_buffer2,54
persistence_autorun,55
modifies_firefox_configuration,56
ransomware_extensions,57
ransomware_shadowcopy,58
removes_zoneid_ads,59
sysinternals_tools_usage,60
pe_unknown_resource_name,61
dropper,62
moves_self,63
reads_user_agent,64
nolookup_communication,65
modifies_desktop_wallpaper,66
ransomware_files,67
dead_host,68
peid_packer,69
antiav_detectfile,70
deletes_executed_files,71
origin_langid,72
antivirus_virustotal,73
creates_service,74
stealth_system_procname,75
terminates_remote_process,76
injection_queueapcthread,77
antisandbox_foregroundwindows,78
infostealer_keylogger,79
modifies_boot_config,80
ransomware_mass_file_delete,81
suspicious_command_tools,82
network_tor,83
packer_upx,84
stealth_hidden_extension,85
stealth_hiddenfile,86
disables_security,87
antivm_generic_services,88
antivm_network_adapters,89
antivm_generic_cpu,90
modifies_proxy_wpad,91
process_needed,92
process_interest,93
antidbg_windows,94
antidbg_devices,95
disables_system_restore,96
volatility_devicetree_1,97
antiav_servicestop,98
modify_uac_prompt,99
antivm_vmware_in_instruction,100
volatility_svcscan_2,101
antiav_detectreg,102
injection_modifies_memory,103
injection_createremotethread,104
multiple_useragents,105
office_vuln_modules,106
js_eval,107
javascript_commandline,108
rat_hupigon,109
queries_programs,110
antivm_generic_bios,111
antiav_avast_libs,112
infostealer_bitcoin,113
creates_largekey,114
win32_process_create,115
antisandbox_idletime,116
exploit_heapspray,117
memdump_tor_urls,118
ransomware_bcdedit,119
antivm_generic_scsi,120
suspicious_write_exe,121
spreading_autoruninf,122
rat_lolbot,123
locates_sniffer,124
browser_security,125
persistence_registry_javascript,126
antivm_vbox_files,127
antivm_vbox_keys,128
antivm_virtualpc,129
antivm_vmware_files,130
antivm_vmware_keys,131
self_delete_bat,132
persistence_ads,133
modifies_zoneid,134
antiemu_wine,135
powershell_di,136
suspicious_powershell,137
dyreza,138
rat_fynloski,139
upatre,140
rat_spynet,141
antianalysis_detectfile,142
deepfreeze_mutex,143
antivm_sandboxie,144
disables_spdy_firefox,145
disables_spdy_ie,146
infostealer_browser,147
packer_vmprotect,148
shutdown_system,149
injection_network_trafic,150
bot_russkill,151
infostealer_mail,152
modifies_security_center_warnings,153
infostealer_im,154
infostealer_ftp,155
recon_programs,156
antisandbox_unhook,157
browser_startpage,158
locker_taskmgr,159
antisandbox_restart,160
stops_service,161
antisandbox_mouse_hook,162
network_icmp,163
av_detect_china_key,164
trojan_jorik,165
antivm_generic_disk,166
credential_dumping_lsass,167
credential_dumping_lsass_access,168
modifies_certificates,169
creates_user_folder_exe,170
detect_putty,171
recon_beacon,172
nymaim_behavior,173
cryptomining_stratum_command,174
bootkit,175
disables_browser_warn,176
js_iframe,177
network_wscript_downloader,178
malicious_document_urls,179
network_document_file,180
